board,folder,run,capture_id,physical_board_id,source_capture_directory,source_raw_path,destination_directory,regulator_isolated,regulator_removed,regulator_evidence,experiment_manifest,experiment_sha256,original_experiment_id,target_cpu_hz,expected_firmware_sha256,sample_count,sample_rate_Hz,sample_count_times_dt_s,raw_bytes,raw_sha256,csv_path,csv_sha256,csv_bytes,raw_and_csv_hashes_verified,independent_csv_integration_passed,original_analysis_status
esp32,ESP32,1,20260911T172549.452730Z_esp32_001,ESP32-D0WD-V3-01-NOREG,captures_common160/esp32/20260911T172549.452730Z_esp32_001,captures_common160/esp32/20260911T172549.452730Z_esp32_001/transport.raw4,ESP32/run_01,True,True,selected_regulator_removed_fixture,config/experiment.common160.json,1fc4fe617fd2cf6cc50a2d775eb8b22b8c44603c6dc15a5cf9b26e86971fb3d3,energy-profiling-v5-common160,160000000,7889845c7f39b17531be9e553aa9d7d5fe239aa8727520f99001eb880a7e219a,4814848,100000,48.14848,19259392,57fd3fbe927c1782bd4a84897e6d52cb2a662e6175001f9202b607bfc27a93e3,ESP32/run_01/capture.csv,b8921a3f54e93aab9370c16d399ac9fd726c36e7de4f019f61bf842ba1c7a1ca,177411558,True,True,structural_protocol_pass
esp32,ESP32,2,20260911T172721.420629Z_esp32_002,ESP32-D0WD-V3-01-NOREG,captures_common160/esp32/20260911T172721.420629Z_esp32_002,captures_common160/esp32/20260911T172721.420629Z_esp32_002/transport.raw4,ESP32/run_02,True,True,selected_regulator_removed_fixture,config/experiment.common160.json,1fc4fe617fd2cf6cc50a2d775eb8b22b8c44603c6dc15a5cf9b26e86971fb3d3,energy-profiling-v5-common160,160000000,7889845c7f39b17531be9e553aa9d7d5fe239aa8727520f99001eb880a7e219a,4797952,100000,47.97952,19191808,02f2112b7ab0145a9d58676c5d7c7cdb71a8acf27f4f44955c4ccccfb2540783,ESP32/run_02/capture.csv,4109e8a0329b030012db834bae44b6f0d72fc781060b643acfb6e266099578a5,176780158,True,True,structural_protocol_pass
esp32,ESP32,3,20260911T172852.720928Z_esp32_003,ESP32-D0WD-V3-01-NOREG,captures_common160/esp32/20260911T172852.720928Z_esp32_003,captures_common160/esp32/20260911T172852.720928Z_esp32_003/transport.raw4,ESP32/run_03,True,True,selected_regulator_removed_fixture,config/experiment.common160.json,1fc4fe617fd2cf6cc50a2d775eb8b22b8c44603c6dc15a5cf9b26e86971fb3d3,energy-profiling-v5-common160,160000000,7889845c7f39b17531be9e553aa9d7d5fe239aa8727520f99001eb880a7e219a,4797952,100000,47.97952,19191808,6aaba11a29980725e9568b1438edc46ad46385fdc05532a0a824dbe24f3e8c81,ESP32/run_03/capture.csv,345e1f539bd06cffe7815fca86287415309d3577c5c7c55aad0437134cf20057,176748320,True,True,structural_protocol_pass
esp32,ESP32,4,20260911T173023.941730Z_esp32_004,ESP32-D0WD-V3-01-NOREG,captures_common160/esp32/20260911T173023.941730Z_esp32_004,captures_common160/esp32/20260911T173023.941730Z_esp32_004/transport.raw4,ESP32/run_04,True,True,selected_regulator_removed_fixture,config/experiment.common160.json,1fc4fe617fd2cf6cc50a2d775eb8b22b8c44603c6dc15a5cf9b26e86971fb3d3,energy-profiling-v5-common160,160000000,7889845c7f39b17531be9e553aa9d7d5fe239aa8727520f99001eb880a7e219a,4797952,100000,47.97952,19191808,55bff76f81a01f6347e56d508872d9fa5695bb279326f881cfa311017f884aa3,ESP32/run_04/capture.csv,6663e813704e739f101c521b3f699bc912f7e12696d85d161e590b2191cba637,176769546,True,True,structural_protocol_pass
esp32,ESP32,5,20260911T173155.615082Z_esp32_005,ESP32-D0WD-V3-01-NOREG,captures_common160/esp32/20260911T173155.615082Z_esp32_005,captures_common160/esp32/20260911T173155.615082Z_esp32_005/transport.raw4,ESP32/run_05,True,True,selected_regulator_removed_fixture,config/experiment.common160.json,1fc4fe617fd2cf6cc50a2d775eb8b22b8c44603c6dc15a5cf9b26e86971fb3d3,energy-profiling-v5-common160,160000000,7889845c7f39b17531be9e553aa9d7d5fe239aa8727520f99001eb880a7e219a,4797440,100000,47.9744,19189760,596833fc1c1a1aa6e54227f3b6b21abe018a662afb738a53334ac6528743c2f0,ESP32/run_05/capture.csv,bb4ebe71a491eb57ae754588a1f09553663b95ee6375c444779f3d30d52f3b88,176756332,True,True,structural_protocol_pass
esp32,ESP32,6,20260911T173326.974377Z_esp32_006,ESP32-D0WD-V3-01-NOREG,captures_common160/esp32/20260911T173326.974377Z_esp32_006,captures_common160/esp32/20260911T173326.974377Z_esp32_006/transport.raw4,ESP32/run_06,True,True,selected_regulator_removed_fixture,config/experiment.common160.json,1fc4fe617fd2cf6cc50a2d775eb8b22b8c44603c6dc15a5cf9b26e86971fb3d3,energy-profiling-v5-common160,160000000,7889845c7f39b17531be9e553aa9d7d5fe239aa8727520f99001eb880a7e219a,4797440,100000,47.9744,19189760,3bcd8f314d18f4b3130ecac62e827ae05e4e4bfef8b1104c397aa28471b45d8b,ESP32/run_06/capture.csv,c4bb1d5f32b71973a830b06849a1fbf629f7048703483844b06f49e50162f8b4,176719931,True,True,structural_protocol_pass
esp32,ESP32,7,20260911T173458.274633Z_esp32_007,ESP32-D0WD-V3-01-NOREG,captures_common160/esp32/20260911T173458.274633Z_esp32_007,captures_common160/esp32/20260911T173458.274633Z_esp32_007/transport.raw4,ESP32/run_07,True,True,selected_regulator_removed_fixture,config/experiment.common160.json,1fc4fe617fd2cf6cc50a2d775eb8b22b8c44603c6dc15a5cf9b26e86971fb3d3,energy-profiling-v5-common160,160000000,7889845c7f39b17531be9e553aa9d7d5fe239aa8727520f99001eb880a7e219a,4797952,100000,47.97952,19191808,da85fb3e341eb323691c7fcdab6e07799244e990351b326f8bedf5130775c9e8,ESP32/run_07/capture.csv,41801fc251cef34af3ee89ec17036dbbbd5206e85ca2e7bb85dcc1f275be50c6,176743112,True,True,structural_protocol_pass
esp32,ESP32,8,20260911T173629.439735Z_esp32_008,ESP32-D0WD-V3-01-NOREG,captures_common160/esp32/20260911T173629.439735Z_esp32_008,captures_common160/esp32/20260911T173629.439735Z_esp32_008/transport.raw4,ESP32/run_08,True,True,selected_regulator_removed_fixture,config/experiment.common160.json,1fc4fe617fd2cf6cc50a2d775eb8b22b8c44603c6dc15a5cf9b26e86971fb3d3,energy-profiling-v5-common160,160000000,7889845c7f39b17531be9e553aa9d7d5fe239aa8727520f99001eb880a7e219a,4797952,100000,47.97952,19191808,4edbf270853dd0127510d87cd7cb3c5b068bc6aa5b573c767841d8e421fdba6f,ESP32/run_08/capture.csv,7e802f1f751ebb8438c92776cd704ead3d94062c6a1553e1b206b294b42ba88d,176766369,True,True,structural_protocol_pass
esp32,ESP32,9,20260911T173800.619473Z_esp32_009,ESP32-D0WD-V3-01-NOREG,captures_common160/esp32/20260911T173800.619473Z_esp32_009,captures_common160/esp32/20260911T173800.619473Z_esp32_009/transport.raw4,ESP32/run_09,True,True,selected_regulator_removed_fixture,config/experiment.common160.json,1fc4fe617fd2cf6cc50a2d775eb8b22b8c44603c6dc15a5cf9b26e86971fb3d3,energy-profiling-v5-common160,160000000,7889845c7f39b17531be9e553aa9d7d5fe239aa8727520f99001eb880a7e219a,4797952,100000,47.97952,19191808,9864641c17e7398e07edcb6dcc3f15d0e8721c5f7b97e9a025b8cc2952d82ec1,ESP32/run_09/capture.csv,987a79c9cba461c28f19cc8f1478f8bb081054e2214174b198739cadb6136518,176771910,True,True,structural_protocol_pass
esp32,ESP32,10,20260911T173932.106656Z_esp32_010,ESP32-D0WD-V3-01-NOREG,captures_common160/esp32/20260911T173932.106656Z_esp32_010,captures_common160/esp32/20260911T173932.106656Z_esp32_010/transport.raw4,ESP32/run_10,True,True,selected_regulator_removed_fixture,config/experiment.common160.json,1fc4fe617fd2cf6cc50a2d775eb8b22b8c44603c6dc15a5cf9b26e86971fb3d3,energy-profiling-v5-common160,160000000,7889845c7f39b17531be9e553aa9d7d5fe239aa8727520f99001eb880a7e219a,4797952,100000,47.97952,19191808,10c1ecee2ec783197c4be1880d830ac5d66c4ed30b1b29403e54850f00c3ad54,ESP32/run_10/capture.csv,c1dba0d0adbdff1491a4002b39984f1991b47919f887f83bedf318d20e8f8849,176755038,True,True,structural_protocol_pass
