sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,552612,613254,60642,5.52612,6.13254,0.60642,0.06415824930300164,0.04441483781200523,0.06957889060776333,0.0013070652065853303,0.03890684554232625,0.12839259028967662,0.00020213999999999999,1.296894851410875e-05,4.279753009655887e-05
2,Delta,3000,713434,731572,18138,7.13434,7.31572,0.18138,0.06692000343923402,0.04944208466833481,0.07182092199817557,0.0013248935917352012,0.012137950223808267,0.04005523573856728,6.046000000000001e-05,4.045983407936089e-06,1.3351745246189092e-05
3,LZ77,200,831725,1136914,305189,8.31725,11.36914,3.05189,0.06217675146243804,0.04720927029442963,0.06808471507062776,0.001364844082684761,0.18975660602070005,0.6261967998683101,0.01525945,0.0009487830301035002,0.0031309839993415504
4,Huffman,200,1237073,1288389,51316,12.37073,12.88389,0.51316,0.06272306333061706,0.04572123943496546,0.07107347579007697,0.0016257374626114564,0.032186967178739444,0.10621699168984015,0.0025657999999999996,0.00016093483589369722,0.0005310849584492008
5,AES-128,1000,1388754,1703824,315070,13.88754,17.03824,3.1507,0.06340860135798956,0.04423361822067938,0.07107347579007697,0.0013418180756005003,0.19978148029861773,0.6592788849854384,0.0031507,0.00019978148029861772,0.0006592788849854385
6,SHA-256,1000,1804017,1875402,71385,18.04017,18.75402,0.71385,0.06490581462285318,0.04572123943496546,0.06957889060776333,0.0012844486855913572,0.04633301576852374,0.15289895203612835,0.00071385,4.633301576852374e-05,0.00015289895203612834
7,ChaCha20,3000,1975518,2089174,113656,19.75518,20.89174,1.13656,0.06627448005973494,0.04497737762217515,0.07182092199817557,0.0013291561163527577,0.07532492305669233,0.2485722460870847,0.00037885333333333333,2.510830768556411e-05,8.285741536236157e-05
8,CRC32,3000,2189381,2320222,130841,21.89381,23.20222,1.30841,0.06331014525942741,0.052420604258331706,0.06808471507062776,0.00133452166920562,0.08283562715888743,0.2733575696243285,0.0004361366666666667,2.7611875719629143e-05,9.111918987477617e-05
9,FFT,50,2420361,2742132,321771,24.20361,27.42132,3.21771,0.05979684294522882,0.04423361822067938,0.0665909491786703,0.0013867172941435543,0.19240889951329224,0.6349493683938644,0.0643542,0.0038481779902658445,0.012698987367877288
10,FIR,300,2842464,2868869,26405,28.42464,28.68869,0.26405,0.06324906803101893,0.04572123943496546,0.06808471507062776,0.0013572035748145102,0.01670091641359055,0.05511302416484881,0.0008801666666666667,5.566972137863517e-05,0.00018371008054949604
11,IIR,50,2969103,3033272,64169,29.69103,30.33272,0.64169,0.0589390447300373,0.04497737762217515,0.06509759293189092,0.0012913018564036352,0.037820595612817635,0.12480796552229818,0.0128338,0.0007564119122563527,0.0024961593104459636
12,DCT,1,3133464,3560448,426984,31.33464,35.60448,4.26984,0.062011799402748334,0.04423361822067938,0.06808471507062776,0.0013531472627283212,0.264780461561831,0.8737755231540423,4.26984,0.264780461561831,0.8737755231540423
