sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,528102,651869,123767,5.28102,6.51869,1.23767,0.0301965919106262,0.02947429397824496,0.04196501632369901,0.00017179216528131783,0.03737341591002473,0.1233322725030816,0.0004125566666666667,1.2457805303341577e-05,4.11107575010272e-05
2,Delta,3000,752263,803323,51060,7.52263,8.03323,0.5106,0.02912609140219925,0.028221996923005498,0.032407076882424335,0.00043116554966713365,0.014871782269962937,0.04907688149087769,0.00017020000000000002,4.957260756654312e-06,1.635896049695923e-05
3,LZ77,200,903661,1356174,452513,9.03661,13.56174,4.52513,0.028942317900053072,0.028221996923005498,0.037241690758352014,0.00019741273085171725,0.13096775099906716,0.43219357829692157,0.02262565,0.0006548387549953358,0.0021609678914846077
4,Huffman,500,1456490,1703472,246982,14.5649,17.03472,2.46982,0.02858644152759493,0.027225291884219304,0.03807464085352486,0.00020575218491879473,0.07060336501368451,0.23299110454515887,0.0049396399999999995,0.00014120673002736902,0.00046598220909031774
5,AES-128,100,1804185,1878368,74183,18.04185,18.78368,0.74183,0.028623237732826292,0.027673244565078504,0.04038030925777261,0.00018479689204930648,0.021233576447342528,0.07007080227623035,0.0074183,0.00021233576447342528,0.0007007080227623034
6,SHA-256,500,1978735,2070580,91845,19.78735,20.7058,0.91845,0.027431978818161104,0.026530312935038915,0.0383877499213408,0.00034164117649322976,0.025194900945540066,0.08314317312028222,0.0018369,5.038980189108013e-05,0.00016628634624056443
7,ChaCha20,3000,2170790,2693566,522776,21.7079,26.93566,5.22776,0.02718156816197517,0.02657988015091817,0.03948686520010197,0.00014844298489965037,0.1420987147744473,0.46892575875567605,0.0017425866666666667,4.73662382581491e-05,0.00015630858625189202
8,CRC32,3000,2793934,3117293,323359,27.93934,31.17293,3.23359,0.03041929046736733,0.02962504866804486,0.037085837680516105,0.00018144529472438666,0.09836351346237432,0.32459959442583525,0.0010778633333333332,3.278783782079144e-05,0.00010819986480861175
9,FFT,20,3217520,3701215,483695,32.1752,37.01215,4.83695,0.028725759638536574,0.02797239294619184,0.04207102844670071,0.0002779286075359604,0.13894506308361948,0.45851870817594426,0.2418475,0.006947253154180974,0.022925935408797213
10,FIR,300,3802366,3867861,65495,38.02366,38.67861,0.65495,0.028724251250596706,0.0278726311959949,0.04006459966988461,0.00018674840969326446,0.018812948356578315,0.062082729576708434,0.0021831666666666666,6.270982785526105e-05,0.00020694243192236145
11,IIR,50,3968433,4114882,146449,39.68433,41.14882,1.46449,0.027233027688397686,0.02662945877258721,0.03980182200586384,0.00016310205757346098,0.03988249671938153,0.13161223917395903,0.0292898,0.0007976499343876306,0.0026322447834791806
12,DCT,1,4215283,7192095,2976812,42.15283,71.92095,29.76812,0.02716298506348885,0.026530312935038915,0.03802249592915313,0.00013292222819927355,0.8085909989281437,2.668350296462874,29.76812,0.8085909989281437,2.668350296462874
