sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,535111,685950,150839,5.35111,6.8595,1.50839,0.02518901260065036,0.023772752486305202,0.028221996923005498,0.00043362411013591896,0.037994854716695,0.12538302056509348,0.0005027966666666667,1.2664951572231665e-05,4.179434018836449e-05
2,Delta,3000,784747,845680,60933,7.84747,8.4568,0.60933,0.031422125562812334,0.013703942642374903,0.042495533170299075,0.0003544964966966495,0.01914644376918844,0.06318326443832185,0.00020311000000000003,6.382147923062814e-06,2.1061088146107286e-05
3,LZ77,200,944416,1583163,638747,9.44416,15.83163,6.38747,0.024479429839338904,0.014402968300383817,0.02862195638697643,0.0006976221845120425,0.15636162371588208,0.5159933582624109,0.03193735,0.0007818081185794104,0.0025799667913120545
4,Huffman,100,1681853,1740828,58975,16.81853,17.40828,0.58975,0.027168405050023253,0.02071325158450649,0.04867845602031349,0.006451303577188663,0.016022566878251213,0.052874470698229,0.0058975,0.00016022566878251212,0.00052874470698229
5,AES-128,100,1839879,1919584,79705,18.39879,19.19584,0.79705,0.028596247165107065,0.013796997788175492,0.03312073851528025,0.00038147551092995746,0.022792638802948587,0.07521570804973034,0.0079705,0.00022792638802948586,0.0007521570804973034
6,SHA-256,500,2018274,2087235,68961,20.18274,20.87235,0.68961,0.028303401809782417,0.013983244949254148,0.03527513662264073,0.0014637430528867236,0.01951830892204405,0.06441041944274536,0.0013792199999999998,3.90366178440881e-05,0.00012882083888549073
7,ChaCha20,3000,2185741,2834429,648688,21.85741,28.34429,6.48688,0.027589722410251864,0.0158087185245097,0.0320510843915459,0.00022897200171315596,0.1789712185086146,0.5906050210784282,0.002162293333333333,5.965707283620487e-05,0.00019686834035947606
8,CRC32,3000,2933094,3260083,326989,29.33094,32.60083,3.26989,0.022963015655123164,0.01903308979077433,0.024900993459095643,0.00013309709849763398,0.07508653526053069,0.24778556635975127,0.0010899633333333334,2.5028845086843564e-05,8.259518878658376e-05
9,FFT,20,3358619,3639508,280889,33.58619,36.39508,2.80889,0.027561404083142352,0.020954415276875766,0.034041588339268736,0.001991593959195271,0.07741695231509772,0.2554759426398225,0.1404445,0.003870847615754886,0.012773797131991125
10,FIR,300,3738599,3814842,76243,37.38599,38.14842,0.76243,0.021455169837074992,0.017509168871730926,0.02323529186027001,0.00015665733850775076,0.01635806513888109,0.05398161495830759,0.0025414333333333337,5.45268837962703e-05,0.00017993871652769195
11,IIR,50,3913676,4046653,132977,39.13676,40.46653,1.32977,0.029813508326974984,0.02071325158450649,0.03332505244738581,0.0005618649351373815,0.03964510896796152,0.130828859594273,0.026595399999999998,0.0007929021793592304,0.0026165771918854604
12,DCT,1,4145423,4892481,747058,41.45423,48.92481,7.47058,0.029515220388332944,0.01491721814419695,0.03383663568293497,0.0004534346893028285,0.22049581512867233,0.7276361899246186,7.47058,0.22049581512867233,0.7276361899246186
