sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,536547,627523,90976,5.36547,6.27523,0.90976,0.041236823055249824,0.03235618659492947,0.04217708619286156,0.00023724645038392366,0.037515612142744084,0.12380152007105547,0.00030325333333333334,1.2505204047581362e-05,4.126717335701849e-05
2,Delta,3000,727639,754848,27209,7.27639,7.54848,0.27209,0.0422260805571532,0.03553295276810299,0.043027190595878125,0.0002213268169504499,0.011489294258795813,0.03791467105402618,9.069666666666667e-05,3.829764752931938e-06,1.2638223684675395e-05
3,LZ77,200,854928,1312790,457862,8.54928,13.1279,4.57862,0.03993886498061898,0.033785426033326,0.04101296025884587,0.0002540616652214576,0.18286488597756168,0.6034541237259535,0.0228931,0.0009143244298878084,0.0030172706186297675
4,Huffman,200,1412879,1489860,76981,14.12879,14.8986,0.76981,0.03995598134889886,0.03358070149278802,0.04286757360741163,0.0005874236735808062,0.030758514002195834,0.10150309620724625,0.00384905,0.00015379257001097918,0.0005075154810362313
5,AES-128,1000,1590241,2062934,472693,15.90241,20.62934,4.72693,0.040642935623950376,0.032865602730418574,0.04223013217462668,0.0002256960824989176,0.19211631168891977,0.6339838285734352,0.004726930000000001,0.00019211631168891978,0.0006339838285734352
6,SHA-256,1000,2163061,2270154,107093,21.63061,22.70154,1.07093,0.04140990503020111,0.033171799889621954,0.04233625835552626,0.00023297962314158805,0.044347109593993274,0.14634546166017778,0.0010709299999999999,4.434710959399327e-05,0.0001463454616601778
7,ChaCha20,3000,2370171,2540680,170509,23.70171,25.4068,1.70509,0.042308094640771926,0.032508891674783415,0.043133658950471415,0.0002338068015030082,0.0721391090910338,0.23805906000041152,0.0005683633333333334,2.4046369697011265e-05,7.935302000013718e-05
8,CRC32,3000,2640824,2837122,196298,26.40824,28.37122,1.96298,0.040549891266998005,0.03450339905472244,0.041435640056077895,0.00020827264138229907,0.07959862555929174,0.26267546434566275,0.0006543266666666666,2.6532875186430583e-05,8.755848811522092e-05
9,FFT,50,2937167,3419922,482755,29.37167,34.19922,4.82755,0.038230809429674245,0.03245797857570898,0.040907404367435764,0.0003285777770125608,0.18456114406222388,0.6090517754053387,0.096551,0.0036912228812444776,0.012181035508106775
10,FIR,300,3520262,3559875,39613,35.20262,35.59875,0.39613,0.04020353223726472,0.032814609790815616,0.04106575531323562,0.00022772167613557966,0.015925825225147672,0.052555223242987316,0.0013204333333333334,5.3086084083825575e-05,0.0001751840774766244
11,IIR,50,3660073,3756340,96267,36.60073,37.5634,0.96267,0.03755428250340113,0.03312073851528025,0.0383877499213408,0.00020858185127912393,0.036152381137549164,0.11930285775391224,0.0192534,0.0007230476227509833,0.0023860571550782445
12,DCT,1,3856480,4497069,640589,38.5648,44.97069,6.40589,0.03960755599407264,0.03210190624430203,0.0405910104321604,0.00021588443801108704,0.25372164686687,0.837281434660671,6.40589,0.25372164686687,0.837281434660671
