sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,528313,631197,102884,5.28313,6.31197,1.02884,0.03302761724315079,0.03225444023730912,0.04022240313777455,0.00016227596365112922,0.03398013372444326,0.11213444129066275,0.00034294666666666665,1.1326711241481087e-05,3.737814709688758e-05
2,Delta,3000,731459,773903,42444,7.31459,7.73903,0.42444,0.03358598213478149,0.03271265812897906,0.03563615906681643,0.0004315323858459686,0.014255234257286656,0.047042273049045964,0.00014148,4.751744752428885e-06,1.568075768301532e-05
3,LZ77,200,874115,1250268,376153,8.74115,12.50268,3.76153,0.03332936911102041,0.03184791103841933,0.03990689885410278,0.00015160142487523942,0.1253694217921766,0.41371909191418277,0.01880765,0.0006268471089608831,0.0020685954595709138
4,Huffman,500,1350464,1555775,205311,13.50464,15.55775,2.05311,0.03303230197936943,0.031340776060888156,0.039644292276928846,0.00025450076076010124,0.06781894951686318,0.22380253340564848,0.004106220000000001,0.00013563789903372637,0.00044760506681129695
5,AES-128,100,1656316,1717987,61671,16.56316,17.17987,0.61671,0.03303794206956944,0.03245797857570898,0.04022240313777455,0.00017091036831857283,0.02037482925372417,0.06723693653728977,0.0061671,0.0002037482925372417,0.0006723693653728977
6,SHA-256,500,1818237,1894590,76353,18.18237,18.9459,0.76353,0.0335227045873555,0.03215273950284793,0.040327662478650134,0.0003343605748837305,0.025595590633583545,0.08446544909082569,0.00152706,5.119118126716709e-05,0.0001689308981816514
7,ChaCha20,3000,1994696,2429259,434563,19.94696,24.29259,4.34563,0.0331710694099846,0.03245797857570898,0.040696429454093026,0.00015488261328816248,0.14414919436011137,0.47569234138836747,0.0014485433333333332,4.8049731453370455e-05,0.0001585641137961225
8,CRC32,3000,2529512,2798305,268793,25.29512,27.98305,2.68793,0.033434482594300485,0.032814609790815616,0.037761942394141344,0.0001705670596615116,0.0898695487996981,0.29656951103900375,0.0008959766666666667,2.9956516266566036e-05,9.885650367966792e-05
9,FFT,20,2898440,3300521,402081,28.9844,33.00521,4.02081,0.031249656901156095,0.030430807360359045,0.04043296744268486,0.0003209451742484455,0.12564893296473745,0.41464147878363355,0.2010405,0.006282446648236873,0.020732073939181677
10,FIR,300,3401420,3455863,54443,34.0142,34.55863,0.54443,0.03345436672339283,0.03266169940674546,0.03990689885410278,0.0002845258849929516,0.018213560875216757,0.06010475088821529,0.0018147666666666665,6.0711869584055854e-05,0.0002003491696273843
11,IIR,50,3556271,3678011,121740,35.56271,36.78011,1.2174,0.031398849213805494,0.030733719652102986,0.039959454386906935,0.00016021697242150638,0.03822495903288681,0.12614236480852645,0.024348,0.0007644991806577361,0.002522847296170529
12,DCT,1,3778276,6252750,2474474,37.78276,62.5275,24.74474,0.03128537115099332,0.030531732501114527,0.039067561516647704,0.00014007303683983955,0.7741483749348305,2.5546896372849406,24.74474,0.7741483749348305,2.5546896372849406
