sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,519271,613586,94315,5.19271,6.13586,0.94315,0.03551017379010779,0.029273447406235477,0.03938197084449966,0.000474773525142333,0.033491420410140166,0.11052168735346254,0.0003143833333333333,1.1163806803380055e-05,3.684056245115418e-05
2,Delta,3000,712186,750241,38055,7.12186,7.50241,0.38055,0.03588808198266745,0.029173092554969474,0.04933232179039562,0.0003714708010093493,0.013657209598504099,0.04506879167506352,0.00012685,4.5524031995013665e-06,1.5022930558354507e-05
3,LZ77,200,848807,1248104,399297,8.48807,12.48104,3.99297,0.03308458487286894,0.03154349318242315,0.034811786125565444,0.0002759688791652258,0.13210575485981949,0.43594899103740425,0.01996485,0.0006605287742990975,0.0021797449551870214
4,Huffman,100,1346664,1383549,36885,13.46664,13.83549,0.36885,0.03800159340204348,0.029373847880660636,0.05401089136355211,0.005721740940790796,0.014016887726343739,0.046255729496934336,0.0036885,0.00014016887726343738,0.0004625572949693434
5,AES-128,100,1482334,1533547,51213,14.82334,15.33547,0.51213,0.039360493096260794,0.029273447406235477,0.048569638073023516,0.001582501474608416,0.02015768932938804,0.06652037478698053,0.0051213,0.0002015768932938804,0.0006652037478698053
6,SHA-256,500,1632104,1675543,43439,16.32104,16.75543,0.43439,0.03873427196320565,0.034349359497463094,0.04721326318595297,0.003308680299397508,0.0168257803980969,0.05552507531371977,0.00086878,3.3651560796193805e-05,0.00011105015062743955
7,ChaCha20,3000,1774013,2179825,405812,17.74013,21.79825,4.05812,0.04293390953218424,0.02947429397824496,0.044896973644864197,0.0013870469426885345,0.1742309569507475,0.5749621579374667,0.0013527066666666665,5.807698565024917e-05,0.00019165405264582225
8,CRC32,3000,2278411,2482945,204534,22.78411,24.82945,2.04534,0.035788390880245075,0.02912293223802116,0.05362248361809134,0.0003574128116436127,0.07319942740300046,0.24155811042990152,0.00068178,2.4399809134333487e-05,8.051937014330051e-05
9,FFT,20,2581472,2768624,187152,25.81472,27.68624,1.87152,0.04230120465265521,0.0320510843915459,0.04775495770654696,0.0028013123071943757,0.07916755053153728,0.261252916754073,0.093576,0.003958377526576864,0.013062645837703649
10,FIR,300,2867473,2915151,47678,28.67473,29.15151,0.47678,0.039602833298602536,0.029373847880660636,0.04111856177341515,0.00020800810771281865,0.018881838860107716,0.06231006823835546,0.0015892666666666665,6.293946286702572e-05,0.00020770022746118485
11,IIR,50,3013794,3102098,88304,30.13794,31.02098,0.88304,0.0429105355213968,0.029273447406235477,0.045165226087984026,0.0003636097818536318,0.03789171928681423,0.12504267364648694,0.0176608,0.0007578343857362846,0.0025008534729297387
12,DCT,1,3200655,3683208,482553,32.00655,36.83208,4.82553,0.043732501369957884,0.03667073132770446,0.05026144315852846,0.0004680298801478245,0.21103249733577284,0.6964072412080503,4.82553,0.21103249733577284,0.6964072412080503
