sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,528466,610773,82307,5.28466,6.10773,0.82307,0.03981228311348275,0.03854445843341093,0.047971954876898676,0.00017827575829288528,0.03276829586221425,0.10813537634530701,0.00027435666666666665,1.092276528740475e-05,3.604512544843567e-05
2,Delta,3000,710998,744953,33955,7.10998,7.44953,0.33955,0.0406047478414981,0.03744965454319027,0.042495533170299075,0.0004201705959808805,0.013787342129580679,0.04549822902761624,0.00011318333333333334,4.595780709860227e-06,1.5166076342538746e-05
3,LZ77,200,845139,1146060,300921,8.45139,11.4606,3.00921,0.0402687414097634,0.038858183413875515,0.04634892435727885,0.00015138865033792424,0.12117709933767412,0.3998844278143246,0.01504605,0.0006058854966883706,0.001999422139071623
4,Huffman,500,1246233,1410482,164249,12.46233,14.10482,1.64249,0.03983871480140333,0.03802249592915313,0.04613329588170191,0.00028867331207388597,0.06543469067415696,0.21593447922471795,0.00328498,0.0001308693813483139,0.0004318689584494359
5,AES-128,100,1510930,1560267,49337,15.1093,15.60267,0.49337,0.039837651921262276,0.039277122112056514,0.0478091898904502,0.0001858761688444726,0.01965470232839317,0.06486051768369745,0.0049337,0.0001965470232839317,0.0006486051768369745
6,SHA-256,500,1660483,1721565,61082,16.60483,17.21565,0.61082,0.04045211210054415,0.039329540775383184,0.04775495770654696,0.0003720812916494331,0.024708959113254377,0.08153956507373944,0.00122164,4.9417918226508756e-05,0.00016307913014747887
7,ChaCha20,3000,1821665,2169314,347649,18.21665,21.69314,3.47649,0.04002636972138924,0.037189728326616926,0.048950700489859715,0.00015432385182941703,0.13915127407271247,0.4591992044399511,0.00115883,4.638375802423749e-05,0.0001530664014799837
8,CRC32,3000,2269532,2484566,215034,22.69532,24.84566,2.15034,0.04040719642237391,0.0372936645958769,0.04409392718397313,0.00019368697132149715,0.08688921075488752,0.2867343954911288,0.00071678,2.8963070251629174e-05,9.557813183037626e-05
9,FFT,20,2584690,2906353,321663,25.8469,29.06353,3.21663,0.037544270316932596,0.03661889435965705,0.04791768847562605,0.0003580748697019141,0.12076602622955489,0.39852788655753113,0.1608315,0.006038301311477744,0.019926394327876556
10,FIR,300,3007088,3050643,43555,30.07088,30.50643,0.43555,0.04041243594376341,0.037345649839191565,0.04764652755610985,0.0003191552903312872,0.017601636475306152,0.0580854003685103,0.0014518333333333334,5.867212158435384e-05,0.00019361800122836767
11,IIR,50,3150987,3248378,97391,31.50987,32.48378,0.97391,0.03777234327335283,0.037137777300671616,0.04802623268396106,0.0001918698499675742,0.03678686283735106,0.12139664736325849,0.0194782,0.0007357372567470212,0.0024279329472651698
12,DCT,1,3348605,5328175,1979570,33.48605,53.28175,19.7957,0.03760236976591001,0.036878193257791965,0.046726713312445406,0.0001483809088846733,0.7443652311750248,2.4564052628775817,19.7957,0.7443652311750248,2.4564052628775817
