sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,518900,602695,83795,5.189,6.02695,0.83795,0.04496220475242873,0.021970416565439323,0.04960525060732923,0.0006840614936208093,0.037676079472297654,0.12433106225858225,0.00027931666666666663,1.2558693157432552e-05,4.144368741952742e-05
2,Delta,3000,701247,735075,33828,7.01247,7.35075,0.33828,0.05672395816566212,0.02192192149380031,0.07182092199817557,0.001421495862231436,0.019188580568280184,0.06332231587532461,0.00011276000000000001,6.396193522760061e-06,2.1107438625108202e-05
3,LZ77,200,833567,1188556,354989,8.33567,11.88556,3.54989,0.038085051732372414,0.02201892304286814,0.03948686520010197,0.00025556508940235414,0.1351977442942315,0.44615255617096394,0.01774945,0.0006759887214711575,0.00223076278085482
4,Huffman,100,1287120,1319913,32793,12.8712,13.19913,0.32793,0.04410822564272697,0.02862195638697643,0.061439788422057454,0.006826753575749265,0.014464410435019455,0.0477325544355642,0.0032793,0.00014464410435019456,0.000477325544355642
5,AES-128,100,1418676,1464177,45501,14.18676,14.64177,0.45501,0.046093947415467074,0.03347840765725776,0.056073188045305006,0.0009249746885973376,0.020973207013511675,0.06921158314458853,0.0045501000000000005,0.00020973207013511675,0.0006921158314458853
6,SHA-256,500,1562784,1601448,38664,15.62784,16.01448,0.38664,0.04438248610110082,0.030784244954324573,0.05053534146759421,0.0015353668539392139,0.01716004442612962,0.056628146606227746,0.00077328,3.432008885225924e-05,0.0001132562932124555
7,ChaCha20,3000,1699955,2060690,360735,16.99955,20.6069,3.60735,0.0493407595414148,0.038753562797228164,0.05157875556211608,0.0017177235872292767,0.17798938893172267,0.5873649834746848,0.0012024499999999999,5.932979631057422e-05,0.00019578832782489493
8,CRC32,3000,2159316,2341165,181849,21.59316,23.41165,1.81849,0.043057453222407026,0.022261626516859027,0.044254331171935134,0.00018725271937892674,0.07829954811041495,0.2583885087643693,0.0006061633333333333,2.609984937013832e-05,8.612950292145643e-05
9,FFT,20,2439662,2611582,171920,24.39662,26.11582,1.7192,0.04750194422498261,0.02201892304286814,0.05445547027718037,0.0034988983574401797,0.0816653425115901,0.26949563028824736,0.08596000000000001,0.004083267125579505,0.013474781514412369
10,FIR,300,2710413,2752801,42388,27.10413,27.52801,0.42388,0.03872894188085859,0.031037042552279355,0.04038030925777261,0.0002131712992353769,0.01641642388445834,0.054174198818712514,0.0014129333333333333,5.4721412948194465e-05,0.0001805806627290417
11,IIR,50,2851479,2934235,82756,28.51479,29.34235,0.82756,0.05018938032615776,0.02603526809468484,0.0530132577626993,0.000773350579257034,0.041534723582715115,0.13706458782295988,0.0165512,0.0008306944716543023,0.0027412917564591977
12,DCT,1,3032839,3453899,421060,30.32839,34.53899,4.2106,0.05044066558697858,0.022601890423617443,0.05412196765722044,0.0005965980066964552,0.21238546652053203,0.7008720395177557,4.2106,0.21238546652053203,0.7008720395177557
