sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,536683,597325,60642,5.36683,5.97325,0.60642,0.0627473139041885,0.04265491063718001,0.06808471507062776,0.0013732342496969184,0.03805122609777799,0.12556904612266737,0.00020213999999999999,1.2683742032592662e-05,4.185634870755579e-05
2,Delta,3000,697505,715643,18138,6.97505,7.15643,0.18138,0.06564270302055415,0.0479534393411035,0.07107347579007697,0.0012955058758013947,0.011906273473868113,0.03929070246376477,6.046000000000001e-05,3.968757824622704e-06,1.3096900821254924e-05
3,LZ77,200,815796,1120985,305189,8.15796,11.20985,3.05189,0.060777203430263604,0.04423361822067938,0.0665909491786703,0.0013902202390552736,0.1854853393767872,0.6121016199433977,0.01525945,0.000927426696883936,0.0030605080997169886
4,Huffman,200,1221144,1272460,51316,12.21144,12.7246,0.51316,0.06078957233029572,0.04274640665157139,0.06808471507062776,0.0016501049388307901,0.03119477693701455,0.10294276389214801,0.0025657999999999996,0.00015597388468507274,0.0005147138194607401
5,AES-128,1000,1372825,1687895,315070,13.72825,16.87895,3.1507,0.06181667296213254,0.04274640665157139,0.06808471507062776,0.001361869376185249,0.19476579150179102,0.6427271119559104,0.0031507,0.000194765791501791,0.0006427271119559104
6,SHA-256,1000,1788087,1859473,71386,17.88087,18.59473,0.71386,0.06342431694971033,0.04497737762217515,0.06883175163354828,0.001360074917043904,0.04527608289772022,0.1494110735624767,0.0007138600000000001,4.527608289772022e-05,0.0001494110735624767
7,ChaCha20,3000,1959588,2073244,113656,19.59588,20.73244,1.13656,0.06460604257270604,0.04274640665157139,0.07107347579007697,0.0012754814449500254,0.07342864374643478,0.24231452436323475,0.00037885333333333333,2.4476214582144924e-05,8.077150812107826e-05
8,CRC32,3000,2173451,2304292,130841,21.73451,23.04292,1.30841,0.061783534810023535,0.052420604258331706,0.06808471507062776,0.0013492676127933772,0.0808381947807829,0.26676604277658356,0.0004361366666666667,2.6946064926927633e-05,8.892201425886118e-05
9,FFT,50,2404431,2726203,321772,24.04431,27.26203,3.21772,0.058189974059855876,0.04348996123047813,0.06509759293189092,0.0013392218132039083,0.18723904333187943,0.6178888429952021,0.06435439999999999,0.0037447808666375886,0.012357776859904041
10,FIR,300,2826535,2852939,26404,28.26535,28.52939,0.26404,0.06168105752460121,0.04348996123047813,0.06733778091900176,0.0013685865469505948,0.0162862664287957,0.05374467921502581,0.0008801333333333333,5.428755476265234e-05,0.0001791489307167527
11,IIR,50,2953173,3017342,64169,29.53173,30.17342,0.64169,0.05735401734985255,0.04348996123047813,0.06211210937386643,0.0013306080652072116,0.036803499393226885,0.12145154799764872,0.0128338,0.0007360699878645377,0.0024290309599529743
12,DCT,1,3117535,3544518,426983,31.17535,35.44518,4.26983,0.06038092050068377,0.04348996123047813,0.0665909491786703,0.0013696511483589921,0.2578162657814346,0.850793677078734,4.26983,0.2578162657814346,0.850793677078734
