sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,528071,651838,123767,5.28071,6.51838,1.23767,0.030065453277183393,0.029424065226557907,0.041806083682619885,0.00017789250114211137,0.03721110955757157,0.12279666153998618,0.0004125566666666667,1.240370318585719e-05,4.093222051332873e-05
2,Delta,3000,752232,803292,51060,7.52232,8.03292,0.5106,0.02897300908428569,0.028221996923005498,0.03184791103841933,0.00042129919632509375,0.014793618438436275,0.04881894084683971,0.00017020000000000002,4.931206146145425e-06,1.6272980282279903e-05
3,LZ77,200,903630,1356142,452512,9.0363,13.56142,4.52512,0.02885998564816872,0.028172053316063192,0.03843997468624106,0.00015634228778840703,0.13059489825624124,0.43096316424559605,0.022625600000000003,0.0006529744912812062,0.00215481582122798
4,Huffman,500,1456458,1703440,246982,14.56458,17.0344,2.46982,0.028452208103651924,0.027026498354371972,0.03703390946615038,0.0002398430156971434,0.0702718326185616,0.23189704764125327,0.0049396399999999995,0.0001405436652371232,0.00046379409528250656
5,AES-128,100,1804153,1878335,74182,18.04153,18.78335,0.74182,0.02857515484347582,0.02792250636819848,0.04016979057602146,0.0001898991669012942,0.021197621365987233,0.06995215050775787,0.007418200000000001,0.00021197621365987232,0.0006995215050775787
6,SHA-256,500,1978702,2070547,91845,19.78702,20.70547,0.91845,0.027468127600263032,0.02657988015091817,0.038335536562230335,0.00032570287800542485,0.025228101794461583,0.08325273592172322,0.0018369,5.0456203588923165e-05,0.00016650547184344643
7,ChaCha20,3000,2170756,2693531,522775,21.70756,26.93531,5.22775,0.027151121428691825,0.02633215812941981,0.03938197084449966,0.0001543617393673453,0.1419392750488437,0.4683996076611842,0.0017425833333333334,4.73130916829479e-05,0.00015613320255372808
8,CRC32,3000,2793899,3117257,323358,27.93899,31.17257,3.23358,0.03035635628314572,0.02962504866804486,0.03610115199762145,0.00018864364625011682,0.09815970655005433,0.3239270316151793,0.00107786,3.2719902183351446e-05,0.00010797567720505975
9,FFT,20,3217484,3701176,483692,32.17484,37.01176,4.83692,0.02863833706077003,0.027822767429581122,0.04170018561751608,0.00026678453659041023,0.1385213452959798,0.45712043947673325,0.241846,0.006926067264798989,0.02285602197383666
10,FIR,300,3802327,3867821,65494,38.02327,38.67821,0.65494,0.028696798021066332,0.028122121114910668,0.039329540775383184,0.0001822274489424357,0.018794680895917182,0.0620224469565267,0.002183133333333333,6.264893631972394e-05,0.000206741489855089
11,IIR,50,3968392,4114839,146447,39.68392,41.14839,1.46447,0.02727317110926219,0.026530312935038915,0.039644292276928846,0.00018366801331312074,0.039940740894381196,0.13180444495145793,0.0292894,0.000798814817887624,0.002636088899029159
12,DCT,1,4215239,7192033,2976794,42.15239,71.92033,29.76794,0.027126271015249965,0.026431212720649782,0.03781403028956413,0.00014982198053237463,0.8074932080057,2.66472758641881,29.76794,0.8074932080057,2.66472758641881
