board,sequence_position,algorithm,captures,iterations_per_capture,duration_per_call_us_mean,duration_per_call_us_sd,mean_current_mA_mean,mean_current_mA_sd,charge_per_call_uC_mean,charge_per_call_uC_sd,energy_per_call_mJ_mean,energy_per_call_mJ_sd,energy_voltage_component_mJ
esp32,1,RLE,10,3000,202.139,0.0016101529717892642,64.39374938493694,0.1731204098400547,13.01648808861287,0.034987018763492105,0.04295441069242247,0.00011545716191952191,0.00013016488088612868
esp32,2,Delta,10,3000,60.45866666666667,0.0017213259316515152,67.29702687629893,0.20825718022014075,4.068688616934651,0.01262802272514629,0.013426672435884348,4.167247499298319e-05,4.068688616934652e-05
esp32,3,LZ77,10,200,15259.450000000003,0.0,62.3679916053688,0.15905097658233716,951.7012495025449,2.4270304246093533,3.1406141233583984,0.00800920040121094,0.009517012495025451
esp32,4,Huffman,10,200,2565.7949999999996,0.015811388300747995,62.774157419622654,0.18075638117872775,161.06562099997842,0.46446194192492335,0.5315165492999288,0.0015327244083522447,0.0016106562099997843
esp32,5,AES-128,10,1000,3150.7000000000003,0.0,63.64296349316546,0.13725074489089018,200.51988507791643,0.4324359219277257,0.6617156207571241,0.0014270385423615114,0.0020051988507791643
esp32,6,SHA-256,10,1000,713.854,0.0051639777949685425,65.00823739600513,0.14851585555269745,46.40639015839398,0.10595107169366887,0.15314108752270017,0.00034963853658910647,0.0004640639015839399
esp32,7,ChaCha20,10,3000,378.854,0.0014054567378671233,66.2113354467501,0.09989301939980233,25.084429311016674,0.03786830252398852,0.08277861672635503,0.00012496539832916075,0.0002508442931101668
esp32,8,CRC32,10,3000,436.13733333333334,0.0014054567378214092,63.41880242216964,0.16838860559586882,27.659307535667732,0.07350944365915017,0.09127571486770351,0.0002425811640751963,0.00027659307535667733
esp32,9,FFT,10,50,64354.37999999999,0.06324555320079771,59.830360262994056,0.10537850702107207,3850.345740571965,6.781994285552614,12.706140943887483,0.022380581142324447,0.03850345740571964
esp32,10,FIR,10,300,880.1433333333334,0.016101529717997384,63.339433448757326,0.18075839558807807,55.747778953131274,0.15865387545282125,0.18396767054533317,0.0005235577889943097,0.0005574777895313127
esp32,11,IIR,10,50,12833.779999999999,0.06324555320299198,58.9264592635073,0.14240919422690437,756.2492161484656,1.8284726114241572,2.4956224132899365,0.0060339596176997405,0.007562492161484656
esp32,12,DCT,10,1,4269837.000000001,4.83045891564264,62.02535674351769,0.1384977619591721,264838.16305572295,591.3102423728633,873.9659380838857,1.951323799830444,2.6483816305572296
rp2040,1,RLE,10,3000,412.5563333333334,0.0010540925534003424,30.1296386356567,0.06401903502503942,12.430173258755769,0.026421190229533504,0.04101957175389403,8.71899277574601e-05,0.00012430173258755768
rp2040,2,Delta,10,3000,170.201,0.0016101529717892642,29.125241234508596,0.048405293617238665,4.9571451882500925,0.008242018993881698,0.016358579121225306,2.7198662679809416e-05,4.9571451882500924e-05
rp2040,3,LZ77,10,200,22625.620000000003,0.03496029493912823,28.89549536562105,0.044184612844340145,653.7784975746505,0.9995016665886127,2.1574690419963467,0.003298355499742364,0.006537784975746507
rp2040,4,Huffman,10,500,4939.647999999999,0.010327955590273014,28.54499896044375,0.03158959059942348,141.00224704715933,0.15606402421094265,0.46530741525562574,0.0005150112798961255,0.0014100224704715932
rp2040,5,AES-128,10,100,7418.26,0.05163977794912555,28.57495212327139,0.04980063836622675,211.97642423490552,0.36937120835939685,0.6995221999751882,0.0012189249875860118,0.002119764242349055
rp2040,6,SHA-256,10,500,1836.902,0.00632455532036777,27.469117136749656,0.042599052282527396,50.45807613616487,0.0781998821666371,0.16651165124934406,0.000258059611149892,0.0005045807613616487
rp2040,7,ChaCha20,10,3000,1742.5873333333334,0.0014054567377528382,27.18779317075818,0.04411036693595626,47.377103999514716,0.0768653936042579,0.15634444319839857,0.00025365579889404503,0.0004737710399951472
rp2040,8,CRC32,10,3000,1077.8636666666666,0.0010540925534517707,30.443555544611208,0.026938969238383313,32.814002411106365,0.029043355188582927,0.10828620795665098,9.584307212231705e-05,0.0003281400241110636
rp2040,9,FFT,10,20,241847.25,0.26352313834031427,28.70196061178253,0.03479476390627922,6941.490242298107,8.41385625127708,22.90691779958375,0.027765725629215064,0.06941490242298107
rp2040,10,FIR,10,300,2183.143333333333,0.016101529718102126,28.81224898482571,0.07952335561603885,62.901268510516026,0.17329767007088265,0.20757418608470285,0.0005718823112339186,0.0006290126851051602
rp2040,11,IIR,10,50,29289.660000000003,0.09660917830903175,27.27440161415986,0.04354395805166832,798.8579475109296,1.2736693678486786,2.6362312267860677,0.004203108913900772,0.007988579475109295
rp2040,12,DCT,10,1,29768106.999999996,25.841396590107447,27.20765512818661,0.03931415058775778,809920.3886645145,1169.992349640191,2672.737282592898,3.860974753812666,8.099203886645146
stm32,1,RLE,10,3000,502.8783333333334,0.1900113706798989,25.211296637091078,0.019275323672926507,12.67821390080437,0.009521098021674645,0.04183810587265442,3.1419623471526345e-05,0.00012678213900804372
stm32,2,Delta,10,3000,203.077,0.0830208957781328,31.463502992755256,0.030285688695666,6.389511793424189,0.004024074775493172,0.021085388918299825,1.3279446759127471e-05,6.38951179342419e-05
stm32,3,LZ77,10,200,31946.750000000004,11.575260976179655,24.52577485641167,0.022092799563476255,783.5187308539727,0.6795373957660091,2.5856118118181097,0.0022424734060279023,0.007835187308539727
stm32,4,Huffman,10,100,5898.41,2.0239949494885408,27.1923350988559,0.010176345150486085,160.39154627468758,0.09173279829165296,0.529292102706469,0.0003027182343624535,0.0016039154627468758
stm32,5,AES-128,10,100,7972.27,4.3428229426388905,28.606724286880603,0.011657923861476007,228.060509981413,0.11838983713989334,0.752599682938663,0.00039068646256164085,0.0022806050998141303
stm32,6,SHA-256,10,500,1379.866,0.7640273409884232,28.30374677315179,0.02670312469502278,39.0553664565602,0.02894468049670789,0.1288827093066486,9.551744563913895e-05,0.00039055366456560185
