algorithm,old_duration_per_call_us,new_duration_per_call_us,duration_change_percent,old_mean_current_mA,new_mean_current_mA,current_change_percent,old_energy_per_call_mJ,new_energy_per_call_mJ,energy_change_percent,new_energy_cv_percent
RLE,202.139000,202.139000,0.000000,64.393749,62.754866,-2.545096,0.042954411,0.041861180,-2.545096,0.141591
Delta,60.458667,60.458667,0.000000,67.297027,65.651483,-2.445196,0.013426672,0.013098364,-2.445198,0.168636
LZ77,15259.450000,15259.435000,-0.000098,62.367992,60.668633,-2.724729,3.140614123,3.055037883,-2.724825,0.227151
Huffman,2565.795000,2565.805000,0.000390,62.774157,61.009339,-2.811377,0.531516549,0.516575624,-2.810999,0.248033
AES-128,3150.700000,3150.700000,0.000000,63.642963,61.891700,-2.751700,0.661715621,0.643507194,-2.751700,0.177363
SHA-256,713.854000,713.857000,0.000420,65.008237,63.332297,-2.578043,0.153141088,0.149193673,-2.577633,0.160312
ChaCha20,378.854000,378.853667,-0.000088,66.211335,64.618757,-2.405296,0.082778617,0.080787475,-2.405382,0.139662
CRC32,436.137333,436.137000,-0.000076,63.418802,61.760219,-2.615287,0.091275715,0.088888525,-2.615362,0.267615
FFT,64354.380000,64354.420000,0.000062,59.830360,58.154237,-2.801459,12.706140944,12.350191305,-2.801398,0.125115
FIR,880.143333,880.143333,0.000000,63.339433,61.659091,-2.652917,0.183967671,0.179087165,-2.652915,0.199498
IIR,12833.780000,12833.820000,0.000312,58.926459,57.311641,-2.740395,2.495622413,2.427240052,-2.740092,0.143021
DCT,4269837.000000,4269840.000000,0.000070,62.025357,60.362873,-2.680329,873.965938084,850.541375719,-2.680260,0.126769
