board,sequence_position,algorithm,captures,iterations_per_capture,duration_per_call_us_mean,duration_per_call_us_sd,mean_current_mA_mean,mean_current_mA_sd,charge_per_call_uC_mean,charge_per_call_uC_sd,energy_per_call_mJ_mean,energy_per_call_mJ_sd,energy_voltage_component_mJ
esp32,1,RLE,10,3000,202.139,0.0016101529717892642,62.75486647688011,0.0887971811484255,12.685205969317849,0.017961163460195117,0.0418611796987489,5.927183941864511e-05,0.00012685205969317848
esp32,2,Delta,10,3000,60.45866666666667,0.0017213259316515152,65.6514826168961,0.11029056544737172,3.969201140692847,0.0066935134085498536,0.013098363764286393,2.2088594248214488e-05,3.969201140692846e-05
esp32,3,LZ77,10,200,15259.435000000001,0.02415229457683896,60.66863256101588,0.1377998570767359,925.76905540493,2.1028941453730043,3.0550378828362685,0.006939550679730805,0.0092576905540493
esp32,4,Huffman,10,200,2565.8049999999994,0.01581138830102228,61.00933946032035,0.15136791379934822,156.53806797580205,0.3882654453276505,0.5165756243201468,0.001281275969581229,0.0015653806797580208
esp32,5,AES-128,10,1000,3150.7000000000003,0.0,61.89170029543005,0.10977313015405168,195.00218012081143,0.3458622011763713,0.6435071943986778,0.0011413452638820206,0.001950021801208115
esp32,6,SHA-256,10,1000,713.8570000000001,0.004830458915420164,63.33229725075024,0.10139061198561457,45.21020386065436,0.07247737172771299,0.14919367274015935,0.0002391753267014493,0.00045210203860654354
esp32,7,ChaCha20,10,3000,378.85366666666664,0.0010540925534003424,64.61875692040422,0.09015069363669874,24.481053040707632,0.034190629573574285,0.08078747503433518,0.00011282907759279368,0.00024481053040707637
esp32,8,CRC32,10,3000,436.13699999999994,0.001054092553366057,61.76021890518141,0.165225339890052,26.93591664959059,0.07208456936832368,0.08888852494364893,0.0002378790789154721,0.0002693591664959058
esp32,9,FFT,10,50,64354.42,0.06324555320518625,58.15423733321575,0.07276440043546534,3742.4822137816464,4.6824091065293825,12.35019130547943,0.015451950051546858,0.03742482213781646
esp32,10,FIR,10,300,880.1433333333334,0.016101529717997384,61.659090647940616,0.1228781166915359,54.268837770416475,0.1082651980223771,0.17908716464237437,0.00035727515347384995,0.0005426883777041648
esp32,11,IIR,10,50,12833.82,0.06324555320408912,57.31164146148145,0.0820788903130298,735.5272885721041,1.0519570426336606,2.427240052287943,0.0034714582406910597,0.00735527288572104
esp32,12,DCT,10,1,4269840.0,6.666666666710341,60.36287332668068,0.07656663371323023,257739.81082386622,326.7338245126243,850.5413757187584,1.0782216208916744,2.577398108238662
rp2040,1,RLE,10,3000,412.55800000000005,0.0017213259316095242,30.035520356895738,0.044353187932190244,12.391394201070252,0.018293583016952764,0.04089160086353183,6.0368823955944186e-05,0.0001239139420107025
rp2040,2,Delta,10,3000,170.20066666666668,0.0014054567378442664,29.033161331843534,0.04173669237319315,4.941463421044451,0.0071090833151431256,0.016306829289446687,2.34599749399716e-05,4.941463421044451e-05
rp2040,3,LZ77,10,200,22625.680000000004,0.058689389538120716,28.799184027332373,0.03362190338793486,651.6011211637542,0.7598633075510971,2.150283699840389,0.0025075489149185893,0.006516011211637543
rp2040,4,Huffman,10,500,4939.658,0.014757295747717447,28.447708072407966,0.03286090443784965,140.52194865451904,0.16221933612505918,0.4637224305599128,0.0005353238092126989,0.0014052194865451905
rp2040,5,AES-128,10,100,7418.26,0.05163977794912555,28.507278985616402,0.052432417470485895,211.47440746693272,0.3889962704145228,0.6978655446408779,0.0012836876923679236,0.0021147440746693276
rp2040,6,SHA-256,10,500,1836.902,0.011352924243959912,27.405110310082115,0.043619646083751705,50.34050168501539,0.07994818893998192,0.16612365556055078,0.00026382902350193964,0.0005034050168501539
rp2040,7,ChaCha20,10,3000,1742.589,0.004172218523418023,27.099018984994718,0.04376426740962445,47.22245234035461,0.07622624392103129,0.15583409272317023,0.00025154660493941123,0.00047222452340354613
rp2040,8,CRC32,10,3000,1077.8636666666669,0.0029186501193181036,30.36183036462293,0.03167786400545153,32.72591376660223,0.03410523600797396,0.10799551542978736,0.00011254727882632075,0.00032725913766602235
rp2040,9,FFT,10,20,241846.95,0.6851601597021462,28.616508042165922,0.0442648980058033,6920.8151898699225,10.705510091938772,22.838690126570743,0.03532818330339727,0.06920815189869922
rp2040,10,FIR,10,300,2183.1366666666663,0.01054092553396914,28.715012816262465,0.04299944756021442,62.68879764204648,0.0940814543844115,0.20687303221875336,0.0003104687994685526,0.0006268879764204647
rp2040,11,IIR,10,50,29289.64,0.12649110640744682,27.220126060842905,0.04509573955013691,797.2676917224605,1.3199333554479395,2.6309833826841196,0.004355780072978272,0.007972676917224607
rp2040,12,DCT,10,1,29768042.0,73.15128919651211,27.12936347752886,0.03283094799223146,807588.0312342634,977.1335100979162,2665.04050307307,3.2245405833231096,8.075880312342637
stm32,1,RLE,10,3000,502.8783333333334,0.1900113706798989,25.211296637091078,0.019275323672926507,12.67821390080437,0.009521098021674645,0.04183810587265442,3.1419623471526345e-05,0.00012678213900804372
stm32,2,Delta,10,3000,203.077,0.0830208957781328,31.463502992755256,0.030285688695666,6.389511793424189,0.004024074775493172,0.021085388918299825,1.3279446759127471e-05,6.38951179342419e-05
stm32,3,LZ77,10,200,31946.750000000004,11.575260976179655,24.52577485641167,0.022092799563476255,783.5187308539727,0.6795373957660091,2.5856118118181097,0.0022424734060279023,0.007835187308539727
stm32,4,Huffman,10,100,5898.41,2.0239949494885408,27.1923350988559,0.010176345150486085,160.39154627468758,0.09173279829165296,0.529292102706469,0.0003027182343624535,0.0016039154627468758
stm32,5,AES-128,10,100,7972.27,4.3428229426388905,28.606724286880603,0.011657923861476007,228.060509981413,0.11838983713989334,0.752599682938663,0.00039068646256164085,0.0022806050998141303
stm32,6,SHA-256,10,500,1379.866,0.7640273409884232,28.30374677315179,0.02670312469502278,39.0553664565602,0.02894468049670789,0.1288827093066486,9.551744563913895e-05,0.00039055366456560185
stm32,7,ChaCha20,10,3000,2163.1753333333336,0.8080034836742062,27.61815742277665,0.02021372936720627,59.74291146026833,0.04109336441196217,0.19715160781888547,0.00013560810255946535,0.0005974291146026833
stm32,8,CRC32,10,3000,1090.1266666666666,0.40521599178710566,22.9957720342372,0.017733786757942557,25.068302598042983,0.019099563900333932,0.08272539857354184,6.302856087110113e-05,0.0002506830259804298
stm32,9,FFT,10,20,140458.3,63.684639696974436,27.59297769446837,0.018570663738447304,3875.6624185314363,2.6705418378978263,12.78968598115374,0.008812788065062735,0.03875662418531437
stm32,10,FIR,10,300,2542.1933333333336,1.1421011608996166,21.514664596124042,0.023702994846212373,54.694436854249865,0.06501637103892566,0.18049164161902453,0.00021455402442846489,0.0005469443685424987
stm32,11,IIR,10,50,26591.140000000003,16.39947153620094,29.863179610886885,0.029102517195183298,794.0956981453771,0.5692833940898075,2.6205158038797447,0.0018786352004963817,0.007940956981453773
stm32,12,DCT,10,1,7472547.000000001,3463.386428851844,29.55185224197992,0.022680502349117396,220827.6103874634,204.75239119080024,728.7311142786292,0.6756828909296464,2.208276103874634
