algorithm,old_duration_per_call_us,new_duration_per_call_us,duration_change_percent,old_mean_current_mA,new_mean_current_mA,current_change_percent,old_energy_per_call_mJ,new_energy_per_call_mJ,energy_change_percent,new_energy_cv_percent
RLE,412.556333,412.558000,0.000404,30.129639,30.035520,-0.312378,0.041019572,0.040891601,-0.311975,0.147631
Delta,170.201000,170.200667,-0.000196,29.125241,29.033161,-0.316152,0.016358579,0.016306829,-0.316347,0.143866
LZ77,22625.620000,22625.680000,0.000265,28.895495,28.799184,-0.333309,2.157469042,2.150283700,-0.333045,0.116615
Huffman,4939.648000,4939.658000,0.000202,28.544999,28.447708,-0.340833,0.465307415,0.463722431,-0.340632,0.115441
AES-128,7418.260000,7418.260000,0.000000,28.574952,28.507279,-0.236827,0.699522200,0.697865545,-0.236827,0.183945
SHA-256,1836.902000,1836.902000,0.000000,27.469117,27.405110,-0.233014,0.166511651,0.166123656,-0.233014,0.158815
ChaCha20,1742.587333,1742.589000,0.000096,27.187793,27.099019,-0.326522,0.156344443,0.155834093,-0.326427,0.161419
CRC32,1077.863667,1077.863667,0.000000,30.443556,30.361830,-0.268448,0.108286208,0.107995515,-0.268448,0.104215
FFT,241847.250000,241846.950000,-0.000124,28.701961,28.616508,-0.297724,22.906917800,22.838690127,-0.297847,0.154686
FIR,2183.143333,2183.136667,-0.000305,28.812249,28.715013,-0.337482,0.207574186,0.206873032,-0.337785,0.150077
IIR,29289.660000,29289.640000,-0.000068,27.274402,27.220126,-0.198998,2.636231227,2.630983383,-0.199066,0.165557
DCT,29768107.000000,29768042.000000,-0.000218,27.207655,27.129363,-0.287756,2672.737282593,2665.040503073,-0.287974,0.120994
